quantile, percentile, hc
1, 150, 12923.878
2, 1321, 10928.857
3, 2591, 12369.874
4, 3852, 15367.027
5, 4874, 13974.627
6, 5828, 15709.888
7, 6810, 17627.603
8, 7730, 18100.62
9, 8400, 16360.945
10, 9042, 16309.467
11, 9745, 16818.586
12, 10430, 17827.175
13, 10962, 17096.839
14, 11460, 16896.978
15, 11894, 17633.52
16, 12360, 19135.59
17, 12848, 16986.052
18, 13240, 16779.437
19, 13722, 18364.545
20, 14136, 19473.433
21, 14594, 18708.504
22, 15000, 18814.914
23, 15414, 19332.886
24, 15814, 19321.875
25, 16296, 20395.754
26, 16650, 21962.071
27, 17078, 21032.094
28, 17530, 21783.377
29, 17939, 20544.5
30, 18286, 22165.934
31, 18702, 22134.672
32, 19048, 21214.225
33, 19451, 23331.314
34, 19892, 24000.993
35, 20303, 24519.364
36, 20678, 22844.387
37, 21098, 24146.949
38, 21548, 25251.204
39, 21937, 26871.326
40, 22379, 25946.908
41, 22855, 27019.132
42, 23318, 24943.362
43, 23844, 25251.604
44, 24269, 26525.324
45, 24733, 27003.951
46, 25181, 28036.557
47, 25654, 27077.993
48, 26086, 28746.204
49, 26540, 29122.993
50, 27006, 27753.585
51, 27492, 29869.879
52, 27996, 29722.345
53, 28488, 29624.705
54, 28973, 30386.293
55, 29480, 31676.604
56, 29985, 30280.897
57, 30570, 31942.841
58, 31152, 31486.646
59, 31666, 32748.784
60, 32260, 35445.542
61, 32786, 35351.568
62, 33389, 35641.313
63, 34021, 34696.638
64, 34651, 35004.417
65, 35199, 37278.424
66, 35860, 35175.37
67, 36516, 37190.351
68, 37200, 38475.639
69, 38001, 39728.205
70, 38668, 37506.697
71, 39307, 35831.69
72, 39969, 38205.622
73, 40688, 39064.442
74, 41350, 41100.925
75, 41995, 40990.708
76, 42753, 40059.967
77, 43640, 40475.895
78, 44502, 42377.803
79, 45184, 43469.338
80, 46055, 43589.801
81, 47035, 42350.026
82, 48202, 43290.058
83, 49183, 45033.163
84, 50416, 47237.548
85, 51603, 49475.517
86, 52923, 47881.306
87, 54217, 47801.178
88, 55682, 48867.487
89, 57652, 53725.128
90, 59209, 52156.167
91, 61200, 52050.124
92, 63961, 52847.565
93, 66438, 58715.422
94, 69394, 54813.168
95, 73985, 57730.154
96, 79173, 62131.123
97, 85362, 63087.548
98, 96091, 71148.057
99, 114128, 74631.401
100, ., 85575.801