quantile, percentile, hitsi
1, 150, 595.25316
2, 1321, 138.84277
3, 2591, 238.3758
4, 3852, 533.72152
5, 4874, 487.81646
6, 5828, 750.03145
7, 6810, 1458.8726
8, 7730, 1822.7911
9, 8400, 2007.8375
10, 9042, 3206.75
11, 9745, 3530.7785
12, 10430, 3786.9114
13, 10962, 4475.7152
14, 11460, 3912.8228
15, 11894, 3740.9563
16, 12360, 4510.25
17, 12848, 5790.3354
18, 13240, 5176.6772
19, 13722, 6616.7722
20, 14136, 5060.1709
21, 14594, 4999.4494
22, 15000, 5767.8931
23, 15414, 5706.0828
24, 15814, 6427.4367
25, 16296, 6876.4241
26, 16650, 7126.7025
27, 17078, 6589.3861
28, 17530, 6234.1139
29, 17939, 7063.9557
30, 18286, 7276.943
31, 18702, 6994.0443
32, 19048, 6207.7799
33, 19451, 7265.5096
34, 19892, 7495.1274
35, 20303, 7929.1962
36, 20678, 7709.8544
37, 21098, 7681.2722
38, 21548, 8293.7342
39, 21937, 6843.9177
40, 22379, 8079.9937
41, 22855, 7139.6266
42, 23318, 8369.6709
43, 23844, 8750.2532
44, 24269, 10644.88
45, 24733, 7765.5253
46, 25181, 8540.7532
47, 25654, 8608.5316
48, 26086, 9765.038
49, 26540, 10897.316
50, 27006, 10722.076
51, 27492, 10346.285
52, 27996, 10860.519
53, 28488, 10132.108
54, 28973, 9619.7468
55, 29480, 11049.648
56, 29985, 9972.8599
57, 30570, 11133.899
58, 31152, 10780.747
59, 31666, 9699.1572
60, 32260, 10444.045
61, 32786, 10840.854
62, 33389, 10898.759
63, 34021, 9574.1962
64, 34651, 11624.063
65, 35199, 10904.566
66, 35860, 9696.2038
67, 36516, 10424.866
68, 37200, 10340.652
69, 38001, 9250.6203
70, 38668, 12181.579
71, 39307, 9908.4268
72, 39969, 9387.6203
73, 40688, 8951.5
74, 41350, 9702.3165
75, 41995, 9991.2658
76, 42753, 12016.975
77, 43640, 10025.778
78, 44502, 11691.747
79, 45184, 11317.082
80, 46055, 9416.6266
81, 47035, 10139.792
82, 48202, 11628.172
83, 49183, 9765.7342
84, 50416, 12649.158
85, 51603, 11621.642
86, 52923, 11730.302
87, 54217, 12141.186
88, 55682, 13327.506
89, 57652, 13612.956
90, 59209, 9488.4684
91, 61200, 12253.127
92, 63961, 10444.119
93, 66438, 14049.758
94, 69394, 10100.854
95, 73985, 10477.962
96, 79173, 12911.278
97, 85362, 11780.209
98, 96091, 10865.044
99, 114128, 11423.19
100, ., 10345.038